gt,fid,group,tier,bed,id,canopy_area_sq_m,mNDVI_mean,mNDVI_median,mNDVI_max,cDSM_mean,cDSM_max,sDSM_median,mean_can_height,max_can_height,can_volume,date,count_thermal,mean_thermal,median_thermal,median.thermal.filtered.to.remove.poor.stands,stdev_thermal,min_thermal,max_thermal,name,entry.type,num,treatment
315,1788,south,20,53,1788,10.06116779,0.641905195,NA,0.841792464,13.0079543,13.21955013,12.86955452,0.138399779,0.349995613,1.392463402,09-28-21,300,27.15159655,26.73532227,26.73532227,1.326471704,25.57224609,34.07132813,M8.124,MAGIC family 8,315,control
286,1789,south,21,53,1789,8.870462947,0.816642243,NA,0.915683687,16.03771763,16.25705719,15.79728699,0.240430647,0.459770203,2.132731142,08-24-21,298,35.36975855,34.41805664,34.41805664,3.036705204,33.37378906,51.07966797,M8.5,MAGIC family 8,286,control
286,1789,south,21,53,1789,0.644667637,0.646194691,0.655589223,0.778132141,14.82010434,14.83693886,14.82011032,-5.98E-06,0.016828537,-3.86E-06,07-06-21,NA,NA,NA,NA,NA,NA,NA,M8.5,MAGIC family 8,286,control
286,1789,south,21,53,1789,4.959108318,0.603205687,NA,0.834302783,12.9488618,13.06838894,12.91850758,0.030354225,0.149881363,0.150529892,09-28-21,300,28.40677318,28.37325195,28.37325195,0.774897218,25.87662109,30.84175781,M8.5,MAGIC family 8,286,control
286,1789,south,21,53,1789,6.828085052,0.805143291,0.844759971,0.901868165,16.07299113,16.25094795,15.81506062,0.257930516,0.435887337,1.761171499,08-10-21,288,24.25747138,23.14426758,23.14426758,3.247947295,22.08935547,44.08736328,M8.5,MAGIC family 8,286,control
55,1790,south,22,53,1790,10.55660015,0.822709535,NA,0.916336417,16.04986976,16.33037758,15.80947208,0.240397672,0.520905495,2.537782095,08-24-21,306,33.68869804,33.4222168,33.4222168,1.184840512,32.16818359,38.07136719,M1.85,MAGIC family 1,55,control
55,1790,south,22,53,1790,0.516198253,0.635982753,0.640190959,0.776459873,14.82736461,14.85007286,14.82329845,0.004066151,0.026774406,0.00209894,07-06-21,NA,NA,NA,NA,NA,NA,NA,M1.85,MAGIC family 1,55,control
55,1790,south,22,53,1790,10.86738033,0.614159197,NA,0.815560341,12.99739891,13.16821098,12.93827534,0.059123572,0.229935646,0.642518348,09-28-21,308,28.09869521,28.15105469,28.15105469,0.735238232,26.09396484,30.50904297,M1.85,MAGIC family 1,55,control
55,1790,south,22,53,1790,7.173057686,0.820813861,0.854388833,0.914844275,16.07084769,16.3249073,15.82433319,0.246514499,0.500574112,1.76826272,08-10-21,302,24.27456604,23.34769531,23.34769531,2.648817965,21.59769531,36.89982422,M1.85,MAGIC family 1,55,control
109,1791,south,23,53,1791,0.521311102,0.632032254,0.637742549,0.782824099,14.81552277,14.82720947,14.8153677,0.000155066,0.011841774,8.08E-05,07-06-21,NA,NA,NA,NA,NA,NA,NA,M3.12,MAGIC family 3,109,control
109,1791,south,23,53,1791,12.34228566,0.675070475,NA,0.85466975,13.04733623,13.2886219,12.92477131,0.122564923,0.363850594,1.512731293,09-28-21,306,27.48812921,27.2525293,27.2525293,1.275342004,25.79244141,33.50416016,M3.12,MAGIC family 3,109,control
109,1791,south,23,53,1791,10.33109434,0.783130616,NA,0.905868351,15.99066183,16.22139359,15.80992699,0.180734845,0.411466599,1.867188738,08-24-21,292,34.51872793,33.81258789,33.81258789,2.280740439,32.43632813,46.58615234,M3.12,MAGIC family 3,109,control
